state;policy_target;value_target
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.003424657534246575, 0.13774733637747336, 0.09627092846270928, 0.00076103500761035, 0.05593607305936073, 0.0015220700152207, 0.00076103500761035, 0.16666666666666666, 0.00076103500761035, 0.00076103500761035, 0.0015220700152207, 0.00076103500761035, 0.00076103500761035, 0.0547945205479452, 0.04908675799086758, 0.04604261796042618, 0.15144596651445966, 0.2374429223744292];0.5773502691896258
[2, 2, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 5, 2, 2, 5, 3, 3, 5, 4, 3, 3, 4, 3, 3, 4, 3, 3, 0, 4, 4, 0, 4, 4, 0, 1, 1, 5, 5, 5, 5, 5, 5, 4, 4, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5];0.03162277660168379
[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 1, 1, 1, 2, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 1, 1, 1, 4, 4, 4, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.011217948717948718, 0.003205128205128205, 0.003205128205128205, 0.003205128205128205, 0.003205128205128205, 0.003205128205128205, 0.003205128205128205, 0.003205128205128205, 0.003205128205128205, 0.003205128205128205, 0.003205128205128205, 0.003205128205128205, 0.46153846153846156, 0.003205128205128205, 0.003205128205128205, 0.003205128205128205, 0.5048076923076923, 0.003205128205128205];0.7071067811865475
[0, 0, 0, 0, 0, 0, 1, 4, 1, 2, 1, 2, 2, 1, 2, 2, 1, 2, 0, 3, 3, 0, 2, 2, 0, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 1, 1, 5, 4, 4, 5, 1, 1, 5, 3, 2, 3, 5, 5, 5, 5, 5, 5];[0.0, 0.2857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2857142857142857, 0.0, 0.2857142857142857, 0.0, 0.0, 0.2857142857142857, 0.0, 0.0, 0.0, 0.2857142857142857, 0.0];0.5773502691896258
[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 1, 1, 1, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 4, 4, 4, 3, 3, 3, 3, 3, 3, 1, 1, 1, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.006944444444444444, 0.17708333333333334, 0.06944444444444445, 0.006944444444444444, 0.006944444444444444, 0.006944444444444444, 0.2152777777777778, 0.006944444444444444, 0.0798611111111111, 0.006944444444444444, 0.006944444444444444, 0.006944444444444444, 0.006944444444444444, 0.0763888888888889, 0.006944444444444444, 0.006944444444444444, 0.020833333333333332, 0.3402777777777778];1.0
[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 1, 1, 1, 1, 1, 1, 4, 4, 4, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 3, 3, 3, 3, 3, 2, 2, 2, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.2755102040816326, 0.5612244897959183];0.7071067811865475
[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.03636363636363636, 0.07272727272727272, 0.03636363636363636, 0.03636363636363636, 0.03636363636363636, 0.03636363636363636, 0.03636363636363636, 0.09090909090909091, 0.03636363636363636, 0.03636363636363636, 0.03636363636363636, 0.12727272727272726, 0.09090909090909091, 0.36363636363636365, 0.05454545454545454, 0.03636363636363636, 0.09090909090909091, 0.03636363636363636];1.0
[3, 0, 0, 3, 0, 0, 2, 0, 0, 0, 4, 4, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 5, 3, 3, 5, 3, 3, 5, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 5, 5, 1, 5, 5, 1, 5, 5];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2857142857142857, 0.2857142857142857, 0.0, 0.0, 0.0, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.0, 0.0, 0.0, 0.0];0.7071067811865475
[0, 0, 0, 0, 0, 0, 1, 2, 2, 4, 1, 1, 4, 1, 1, 4, 1, 1, 5, 1, 1, 5, 2, 2, 5, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 0, 4, 4, 0, 4, 4, 0, 3, 4, 4, 5, 5, 5, 5, 5, 5];[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.7071067811865475
[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1];0.7071067811865475
[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 1, 1, 1, 4, 4, 4, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0];0.7071067811865475
[0, 0, 3, 0, 0, 3, 0, 0, 2, 4, 4, 0, 1, 1, 0, 1, 1, 0, 1, 2, 2, 1, 2, 2, 1, 2, 2, 5, 2, 2, 5, 3, 3, 5, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 4, 5, 5, 1, 5, 5, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.4];0.7071067811865475
[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 1, 1, 1, 1, 1, 1, 4, 4, 4, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 3, 3, 3, 3, 3, 2, 2, 2, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0];0.7071067811865475
[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666];0.7071067811865475
[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 1, 1, 1, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 4, 4, 4, 3, 3, 3, 3, 3, 3, 1, 1, 1, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.07407407407407407, 0.07407407407407407, 0.07407407407407407, 0.1111111111111111, 0.1111111111111111, 0.07407407407407407, 0.07407407407407407, 0.07407407407407407, 0.07407407407407407, 0.07407407407407407, 0.07407407407407407, 0.07407407407407407, 0.07407407407407407, 0.07407407407407407, 0.14814814814814814, 0.07407407407407407, 0.07407407407407407, 0.18518518518518517];1.0
[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 4, 4, 4, 1, 1, 1, 3, 3, 3, 1, 1, 1, 2, 2, 2, 4, 4, 4, 2, 2, 2, 3, 3, 3, 1, 1, 1, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5];0.7071067811865475
[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 1, 1, 1, 1, 1, 1, 4, 4, 4, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 3, 3, 3, 3, 3, 2, 2, 2, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0];0.7071067811865475
